county,office,district,party,candidate,votes
Carter,State House,3,Democratic,Lori Love,77
Carter,State House,3,Republican,Timothy Hill,273
Davidson,State House,52,Democratic,Justin Jones,5226
Davidson,State House,52,Republican,Laura Nelson,1494
Hawkins,State House,3,Democratic,Lori Love,184
Hawkins,State House,3,Republican,Timothy Hill,306
Johnson,State House,3,Democratic,Lori Love,276
Johnson,State House,3,Republican,Timothy Hill,1487
Shelby,State House,86,Democratic,Justin J. Pearson,2439
Shelby,State House,86,Independent,Jeff Johnston,157
Sullivan,State House,3,Democratic,Lori Love,372
Sullivan,State House,3,Republican,Timothy Hill,589
