county,office,district,party,candidate,votes
Anderson,U.S. House,3,Democratic,Meg Gorman,2400
Anderson,U.S. House,3,Republican,Chuck Fleischmann,4704
Anderson,U.S. House,3,Republican,Sandy Casey,1326
Anderson,State House,33,Democratic,"James ""Mike"" Brewer",427
Anderson,State House,33,Democratic,Jim Dodson,1915
Anderson,State House,33,Republican,John D. Ragan,4401
Anderson,State House,41,Democratic,No Candidate Qualified,0
Anderson,State House,41,Republican,Bradley Hayes,100
Anderson,State House,41,Republican,Ed Butler,252
Anderson,State House,41,Republican,Michael C. Swisher,855
Anderson,State Executive Committeeman,5,Democratic,Jack Vaughan,2226
Anderson,State Executive Committeewoman,5,Democratic,Anne W. Backus,2240
Anderson,State Senate,5,Democratic,No Candidate Qualified,0
Anderson,State Executive Committeeman,5,Republican,Scott Smith,1058
Anderson,State Executive Committeeman,5,Republican,Tim Hutchison,4317
Anderson,State Executive Committeewoman,5,Republican,Amy Jones,1763
Anderson,State Executive Committeewoman,5,Republican,Terry Frank,4144
Anderson,State Senate,5,Republican,Earle Segrest,686
Anderson,State Senate,5,Republican,Randy McNally,5341
Anderson,District Attorney General,7,Independent,Dave Clark,7464
Anderson,Chancellor,7,Republican,M. Nichole Cantrell,6435
Anderson,Circuit and Criminal Court Judge,7,Republican,Ryan Spitzer,6617
Anderson,Public Defender,7,Republican,Ann D. Coria,6319
Anderson,Court of Appeals - Eastern Division,NA,,Replace - John W. McClarty,1706
Anderson,Court of Appeals - Eastern Division,NA,,Replace - Kristi Davis,1450
Anderson,Court of Appeals - Eastern Division,NA,,Replace - Mike Swiney,1506
Anderson,Court of Appeals - Eastern Division,NA,,"Replace - Thomas R. ""Skip"" Frierson",1583
Anderson,Court of Appeals - Eastern Division,NA,,Retain - John W. McClarty,4854
Anderson,Court of Appeals - Eastern Division,NA,,Retain - Kristi Davis,5137
Anderson,Court of Appeals - Eastern Division,NA,,Retain - Mike Swiney,4919
Anderson,Court of Appeals - Eastern Division,NA,,"Retain - Thomas R. ""Skip"" Frierson",4944
Anderson,Court of Appeals - Middle Division,NA,,Replace - Andy D. Bennett,1609
Anderson,Court of Appeals - Middle Division,NA,,Replace - Frank Clement,1565
Anderson,Court of Appeals - Middle Division,NA,,Replace - Neal McBrayer,1531
Anderson,Court of Appeals - Middle Division,NA,,Retain - Andy D. Bennett,4807
Anderson,Court of Appeals - Middle Division,NA,,Retain - Frank Clement,4995
Anderson,Court of Appeals - Middle Division,NA,,Retain - Neal McBrayer,4869
Anderson,Court of Appeals - Western Division,NA,,Replace - Arnold B. Goldin,1495
Anderson,Court of Appeals - Western Division,NA,,Replace - Carma Dennis McGee,1450
Anderson,Court of Appeals - Western Division,NA,,Replace - Kenny W. Armstrong,1491
Anderson,Court of Appeals - Western Division,NA,,Replace - Steve Stafford,1612
Anderson,Court of Appeals - Western Division,NA,,Retain - Arnold B. Goldin,4800
Anderson,Court of Appeals - Western Division,NA,,Retain - Carma Dennis McGee,4886
Anderson,Court of Appeals - Western Division,NA,,Retain - Kenny W. Armstrong,4907
Anderson,Court of Appeals - Western Division,NA,,Retain - Steve Stafford,4712
Anderson,Court of Criminal Appeals - Eastern Division,NA,,"Replace - James C. Witt, Jr.",1432
Anderson,Court of Criminal Appeals - Eastern Division,NA,,"Replace - Robert H. Montgomery, Jr.",1480
Anderson,Court of Criminal Appeals - Eastern Division,NA,,"Retain - James C. Witt, Jr.",4831
Anderson,Court of Criminal Appeals - Eastern Division,NA,,"Retain - Robert H. Montgomery, Jr.",4861
Anderson,Court of Criminal Appeals - Middle Division,NA,,Replace - Jill Bartee Ayers,1418
Anderson,Court of Criminal Appeals - Middle Division,NA,,"Replace - Robert L. Holloway, Jr.",1454
Anderson,Court of Criminal Appeals - Middle Division,NA,,Replace - Robert W. Wedemeyer,1483
Anderson,Court of Criminal Appeals - Middle Division,NA,,Replace - Timothy L. Easter,1460
Anderson,Court of Criminal Appeals - Middle Division,NA,,Retain - Jill Bartee Ayers,4841
Anderson,Court of Criminal Appeals - Middle Division,NA,,"Retain - Robert L. Holloway, Jr.",4798
Anderson,Court of Criminal Appeals - Middle Division,NA,,Retain - Robert W. Wedemeyer,4798
Anderson,Court of Criminal Appeals - Middle Division,NA,,Retain - Timothy L. Easter,4775
Anderson,Court of Criminal Appeals - Western Division,NA,,Replace - Camille McMullen,1523
Anderson,Court of Criminal Appeals - Western Division,NA,,Replace - J. Ross Dyer,1435
Anderson,Court of Criminal Appeals - Western Division,NA,,Replace - John Everett Williams,1447
Anderson,Court of Criminal Appeals - Western Division,NA,,"Replace - John W. Campbell, Sr.",1453
Anderson,Court of Criminal Appeals - Western Division,NA,,Retain - Camille McMullen,4811
Anderson,Court of Criminal Appeals - Western Division,NA,,Retain - J. Ross Dyer,4788
Anderson,Court of Criminal Appeals - Western Division,NA,,Retain - John Everett Williams,4851
Anderson,Court of Criminal Appeals - Western Division,NA,,"Retain - John W. Campbell, Sr.",4806
Anderson,Supreme Court,NA,,Replace - Holly Kirby,1464
Anderson,Supreme Court,NA,,Replace - Jeffrey S. Bivins,1662
Anderson,Supreme Court,NA,,Replace - Roger A. Page,1609
Anderson,Supreme Court,NA,,Replace - Sarah K. Campbell,1569
Anderson,Supreme Court,NA,,Replace - Sharon Gail Lee,1651
Anderson,Supreme Court,NA,,Retain - Holly Kirby,5225
Anderson,Supreme Court,NA,,Retain - Jeffrey S. Bivins,5083
Anderson,Supreme Court,NA,,Retain - Roger A. Page,4953
Anderson,Supreme Court,NA,,Retain - Sarah K. Campbell,5147
Anderson,Supreme Court,NA,,Retain - Sharon Gail Lee,5098
Anderson,Governor,NA,Democratic,Carnita Faye Atwater,646
Anderson,Governor,NA,Democratic,JB Smiley Jr.,686
Anderson,Governor,NA,Democratic,Jason Brantley Martin,1261
Anderson,Governor,NA,Republican,Bill Lee,5613
Bedford,State Executive Committeeman,14,Democratic,No Candidate Qualified,0
Bedford,State Executive Committeewoman,14,Democratic,Jane Tucker,567
Bedford,State Executive Committeeman,14,Republican,Richard T Floyd,2386
Bedford,State Executive Committeewoman,14,Republican,Lynne Davis,2527
Bedford,Chancellor,17,Independent,J. B. Cox,3046
Bedford,Circuit Court Judge Part I,17,Independent,Forest A Durard Jr,3357
Bedford,Circuit Court Judge Part II,17,Independent,Wyatt Burk,3364
Bedford,District Attorney General,17,Independent,Robert J. Carter,2949
Bedford,Public Defender,17,Independent,Donna Orr Hargrove,3249
Bedford,U.S. House,4,Democratic,Arnold J. White,195
Bedford,U.S. House,4,Democratic,Wayne Steele,348
Bedford,U.S. House,4,Republican,Scott DesJarlais,3123
Bedford,State House,62,Democratic,No Candidate Qualified,0
Bedford,State House,62,Republican,Pat Marsh,3114
Bedford,Court of Appeals - Eastern Division,NA,,Replace - John W. McClarty,684
Bedford,Court of Appeals - Eastern Division,NA,,Replace - Kristi Davis,624
Bedford,Court of Appeals - Eastern Division,NA,,Replace - Mike Swiney,642
Bedford,Court of Appeals - Eastern Division,NA,,"Replace - Thomas R. ""Skip"" Frierson",649
