county,office,district,party,candidate,votes
Anderson,U.S. House,3,Democratic,Danielle Mitchell,8703
Anderson,U.S. House,3,Independent,Rick Tyler,510
Anderson,U.S. House,3,Republican,Chuck Fleischmann,16420
Anderson,State House,33,Democratic,Richard Dawson,8572
Anderson,State House,33,Republican,John D. Ragan,13571
Anderson,State House,36,Democratic,Cassandra Mitchell,917
Anderson,State House,36,Republican,Dennis H. Powers,2445
Anderson,State Senate,5,Democratic,Stuart Starr,7658
Anderson,State Senate,5,Republican,Randy McNally,17872
Anderson,Governor,NA,,Write-In - Eddie Murphy,0
Anderson,Governor,NA,Democratic,Karl Dean,9462
Anderson,U.S. Senate,NA,Democratic,Phil Bredesen,10818
Anderson,Governor,NA,Independent,Alfred Shawn Rapoza,2
Anderson,Governor,NA,Independent,Chad Riden,13
Anderson,Governor,NA,Independent,Cory King,9
Anderson,Governor,NA,Independent,Gabriel Fancher,4
Anderson,Governor,NA,Independent,George Blackwell Smith IV,20
Anderson,Governor,NA,Independent,Heather Scott,25
Anderson,Governor,NA,Independent,Jaron D. Weidner,0
Anderson,Governor,NA,Independent,Jeremy Allen Stephenson,7
Anderson,Governor,NA,Independent,Jessie D. McDonald,3
Anderson,Governor,NA,Independent,Joe B. Wilmoth,1
Anderson,Governor,NA,Independent,Justin Cornett,22
Anderson,Governor,NA,Independent,Mark CoonRippy Brown,37
Anderson,Governor,NA,Independent,Mark Wright,8
Anderson,Governor,NA,Independent,Matthew Koch,7
Anderson,Governor,NA,Independent,Mike Toews,3
Anderson,Governor,NA,Independent,Patrick Whitlock,1
Anderson,Governor,NA,Independent,Rick Tyler,7
Anderson,Governor,NA,Independent,Robert Sawyers Sr.,3
Anderson,Governor,NA,Independent,Sean Bruce Fleming,5
Anderson,Governor,NA,Independent,Sherry L. Clark,58
Anderson,Governor,NA,Independent,Tommy Ray McAnally,21
Anderson,Governor,NA,Independent,Toney Randall Mitchell,9
Anderson,Governor,NA,Independent,Tracy C. Yaste Tisdale,12
Anderson,Governor,NA,Independent,Vinnie Vineyard,23
Anderson,Governor,NA,Independent,William Andrew Helmstetter,4
Anderson,Governor,NA,Independent,Yvonne Neubert,9
Anderson,U.S. Senate,NA,Independent,Breton Phillips,35
Anderson,U.S. Senate,NA,Independent,Dean Hill,176
Anderson,U.S. Senate,NA,Independent,John Carico,38
Anderson,U.S. Senate,NA,Independent,Kevin Lee McCants,23
Anderson,U.S. Senate,NA,Independent,Kris L. Todd,48
Anderson,U.S. Senate,NA,Independent,Trudy A. Austin,150
Anderson,Governor,NA,Republican,Bill Lee,16265
Anderson,U.S. Senate,NA,Republican,Marsha Blackburn,14720
Bedford,U.S. House,4,,Write-In - Russell Wayne Steele,0
Bedford,U.S. House,4,Democratic,Mariah Phillips,3045
Bedford,U.S. House,4,Independent,Michael Shupe,314
Bedford,U.S. House,4,Republican,Scott DesJarlais,8715
Bedford,State House,62,Democratic,Marty Davis,2928
Bedford,State House,62,Republican,Pat Marsh,9212
Bedford,Governor,NA,,Write-In - Eddie Murphy,0
Bedford,Governor,NA,Democratic,Karl Dean,3447
Bedford,U.S. Senate,NA,Democratic,Phil Bredesen,3929
Bedford,Governor,NA,Independent,Alfred Shawn Rapoza,4
Bedford,Governor,NA,Independent,Chad Riden,1
Bedford,Governor,NA,Independent,Cory King,13
Bedford,Governor,NA,Independent,Gabriel Fancher,4
Bedford,Governor,NA,Independent,George Blackwell Smith IV,4
Bedford,Governor,NA,Independent,Heather Scott,8
Bedford,Governor,NA,Independent,Jaron D. Weidner,1
Bedford,Governor,NA,Independent,Jeremy Allen Stephenson,1
Bedford,Governor,NA,Independent,Jessie D. McDonald,1
Bedford,Governor,NA,Independent,Joe B. Wilmoth,0
Bedford,Governor,NA,Independent,Justin Cornett,1
Bedford,Governor,NA,Independent,Mark CoonRippy Brown,12
Bedford,Governor,NA,Independent,Mark Wright,5
Bedford,Governor,NA,Independent,Matthew Koch,3
Bedford,Governor,NA,Independent,Mike Toews,2
Bedford,Governor,NA,Independent,Patrick Whitlock,1
Bedford,Governor,NA,Independent,Rick Tyler,3
Bedford,Governor,NA,Independent,Robert Sawyers Sr.,0
Bedford,Governor,NA,Independent,Sean Bruce Fleming,2
Bedford,Governor,NA,Independent,Sherry L. Clark,24
Bedford,Governor,NA,Independent,Tommy Ray McAnally,5
Bedford,Governor,NA,Independent,Toney Randall Mitchell,1
Bedford,Governor,NA,Independent,Tracy C. Yaste Tisdale,3
Bedford,Governor,NA,Independent,Vinnie Vineyard,7
Bedford,Governor,NA,Independent,William Andrew Helmstetter,3
Bedford,Governor,NA,Independent,Yvonne Neubert,4
Bedford,U.S. Senate,NA,Independent,Breton Phillips,12
Bedford,U.S. Senate,NA,Independent,Dean Hill,45
Bedford,U.S. Senate,NA,Independent,John Carico,13
Bedford,U.S. Senate,NA,Independent,Kevin Lee McCants,10
Bedford,U.S. Senate,NA,Independent,Kris L. Todd,21
