county,office,district,party,candidate,votes
Anderson,U.S. House,3,Democratic,Danielle Mitchell,3495
Anderson,U.S. House,3,Republican,Chuck Fleischmann,7178
Anderson,U.S. House,3,Republican,Harold E. Shevlin,239
Anderson,U.S. House,3,Republican,Jeremy Massengale,1016
Anderson,U.S. House,3,Republican,"William E. Spurlock, Sr.",567
Anderson,State House,33,Democratic,Nathaniel Varner,670
Anderson,State House,33,Democratic,Richard Dawson,2395
Anderson,State House,33,Republican,John D. Ragan,6717
Anderson,State House,36,Democratic,Cassandra Mitchell,382
Anderson,State House,36,Republican,Dennis H. Powers,1221
Anderson,State Executive Committeeman,5,Democratic,Jim Hackworth,3476
Anderson,State Executive Committeewoman,5,Democratic,Ebony Capshaw,3529
Anderson,State Senate,5,Democratic,Stuart Starr,3137
Anderson,State Executive Committeeman,5,Republican,Richard Esparza,1702
Anderson,State Executive Committeeman,5,Republican,Scott Smith,5099
Anderson,State Executive Committeewoman,5,Republican,Amy Jones,6724
Anderson,State Senate,5,Republican,Randy McNally,8650
Anderson,Governor,NA,Democratic,Craig Fitzhugh,756
Anderson,Governor,NA,Democratic,Karl Dean,2785
Anderson,Governor,NA,Democratic,Mezianne Vale Payne,269
Anderson,U.S. Senate,NA,Democratic,Gary Davis,127
Anderson,U.S. Senate,NA,Democratic,John Wolfe,139
Anderson,U.S. Senate,NA,Democratic,Phil Bredesen,3699
Anderson,Governor,NA,Republican,Basil Marceaux Sr.,17
Anderson,Governor,NA,Republican,Beth Harwell,1738
Anderson,Governor,NA,Republican,Bill Lee,2830
Anderson,Governor,NA,Republican,Diane Black,1928
Anderson,Governor,NA,Republican,Kay White,42
Anderson,Governor,NA,Republican,Randy Boyd,3138
Anderson,U.S. Senate,NA,Republican,Aaron L. Pettigrew,1646
Anderson,U.S. Senate,NA,Republican,Marsha Blackburn,7058
Anderson,U.S. Senate,NA,Republican,"Write-In - Tom Emerson, Jr.",0
Anderson,U.S. Senate,NA,Republican,Write-In - Tommy N. Hay,0
Bedford,State Executive Committeeman,14,Democratic,Mark Farrar,1522
Bedford,State Executive Committeewoman,14,Democratic,Tanea McClean,1415
Bedford,State Executive Committeeman,14,Republican,Jim Sandman,4553
Bedford,State Executive Committeewoman,14,Republican,Lynne Davis,4663
Bedford,Circuit Court Judge Part II,17 (unexpired term),Independent,Wyatt Burk,7159
Bedford,U.S. House,4,Democratic,Christopher J. Hale,607
Bedford,U.S. House,4,Democratic,Mariah Phillips,617
Bedford,U.S. House,4,Democratic,Steven Reynolds,343
Bedford,U.S. House,4,Republican,Jack Maddux,1279
Bedford,U.S. House,4,Republican,Scott DesJarlais,4633
Bedford,State House,62,Democratic,Marty Davis,1502
Bedford,State House,62,Republican,Pat Marsh,5808
Bedford,Governor,NA,Democratic,Craig Fitzhugh,178
Bedford,Governor,NA,Democratic,Karl Dean,1590
Bedford,Governor,NA,Democratic,Mezianne Vale Payne,61
Bedford,U.S. Senate,NA,Democratic,Gary Davis,81
Bedford,U.S. Senate,NA,Democratic,John Wolfe,35
Bedford,U.S. Senate,NA,Democratic,Phil Bredesen,1717
Bedford,Governor,NA,Republican,Basil Marceaux Sr.,3
Bedford,Governor,NA,Republican,Beth Harwell,850
Bedford,Governor,NA,Republican,Bill Lee,3031
Bedford,Governor,NA,Republican,Diane Black,1410
Bedford,Governor,NA,Republican,Kay White,7
Bedford,Governor,NA,Republican,Randy Boyd,1112
Bedford,U.S. Senate,NA,Republican,Aaron L. Pettigrew,707
Bedford,U.S. Senate,NA,Republican,Marsha Blackburn,5154
Bedford,U.S. Senate,NA,Republican,"Write-In - Tom Emerson, Jr.",0
Bedford,U.S. Senate,NA,Republican,Write-In - Tommy N. Hay,2
Benton,State Executive Committeeman,24,Democratic,Don Farmer,963
Benton,State Executive Committeewoman,24,Democratic,Angela Callis,903
Benton,State Executive Committeeman,24,Republican,Gary Kee,1905
Benton,State Executive Committeewoman,24,Republican,Elizabeth (Betsy) Phillips,612
Benton,State Executive Committeewoman,24,Republican,Rebecca Griffey,1533
Benton,Public Defender,24 (unexpired term),Republican,"Robert ""Tas"" Gardner",2845
Benton,U.S. House,7,Democratic,Justin Kanew,608
Benton,U.S. House,7,Democratic,Matt Reel,506
Benton,U.S. House,7,Republican,Mark E. Green,2003
Benton,State House,75,Democratic,Richard Carl,955
Benton,State House,75,Republican,Bruce I. Griffey,1802
Benton,State House,75,Republican,Tim Wirgau,1062
Benton,U.S. House,8,Democratic,Erika Stotts Pearson,3
Benton,U.S. House,8,Democratic,John Boatner,3
Benton,U.S. House,8,Republican,Colleen Owens,4
Benton,U.S. House,8,Republican,David Kustoff,5
Benton,U.S. House,8,Republican,"George S. Flinn, Jr.",6
Benton,Governor,NA,Democratic,Craig Fitzhugh,148
Benton,Governor,NA,Democratic,Karl Dean,1130
Benton,Governor,NA,Democratic,Mezianne Vale Payne,50
Benton,U.S. Senate,NA,Democratic,Gary Davis,68
Benton,U.S. Senate,NA,Democratic,John Wolfe,67
Benton,U.S. Senate,NA,Democratic,Phil Bredesen,1256
Benton,Governor,NA,Republican,Basil Marceaux Sr.,2
Benton,Governor,NA,Republican,Beth Harwell,385
Benton,Governor,NA,Republican,Bill Lee,746
Benton,Governor,NA,Republican,Diane Black,856
Benton,Governor,NA,Republican,Kay White,14
Benton,Governor,NA,Republican,Randy Boyd,907
Benton,U.S. Senate,NA,Republican,Aaron L. Pettigrew,452
Benton,U.S. Senate,NA,Republican,Marsha Blackburn,2260
Benton,U.S. Senate,NA,Republican,"Write-In - Tom Emerson, Jr.",0
Benton,U.S. Senate,NA,Republican,Write-In - Tommy N. Hay,0
Bledsoe,Chancellor,12 (unexpired term),Independent,David L. Stewart,1168
Bledsoe,Chancellor,12 (unexpired term),Republican,Missy Thomas Blevins,1700
Bledsoe,State Executive Committeeman,15,Democratic,Amos Powers,477
Bledsoe,State Executive Committeewoman,15,Democratic,Cheryl H. Vickers,485
Bledsoe,State Senate,15,Democratic,Angela Hedgecough,545
Bledsoe,State Executive Committeeman,15,Republican,Lance Persson,299
Bledsoe,State Executive Committeeman,15,Republican,Mike Callahan,1048
Bledsoe,State Executive Committeewoman,15,Republican,Barbara D. Gregson,1308
Bledsoe,State Senate,15,Republican,Paul Bailey,1700
Bledsoe,State House,31,Democratic,Dean M Sparks,554
Bledsoe,State House,31,Republican,Ron Travis,1837
Bledsoe,U.S. House,4,Democratic,Christopher J. Hale,213
Bledsoe,U.S. House,4,Democratic,Mariah Phillips,220
Bledsoe,U.S. House,4,Democratic,Steven Reynolds,192
Bledsoe,U.S. House,4,Republican,Jack Maddux,584
Bledsoe,U.S. House,4,Republican,Scott DesJarlais,1447
