county,office,district,party,candidate,votes
Anderson,State House,33,Democratic,Michael S McKamey,8057
Anderson,State House,33,Republican,John D Ragan,15743
Anderson,State House,36,Democratic,Bob Fannon,929
Anderson,State House,36,Republican,Dennis H. Powers,2764
Anderson,U.S. House,3,Democratic,Melody Shekari,7810
Anderson,U.S. House,3,Independent,Cassandra Mitchell,722
Anderson,U.S. House,3,Independent,Rick Tyler,567
Anderson,U.S. House,3,Independent,Topher Kersting,328
Anderson,U.S. House,3,Republican,Chuck Fleischmann,18682
Anderson,President,NA,Democratic,Hillary Clinton,9013
Anderson,President,NA,Independent,"""Rocky"" Roque De La Fuente",74
Anderson,President,NA,Independent,Alyson Kennedy,42
Anderson,President,NA,Independent,Gary Johnson,1034
Anderson,President,NA,Independent,Jill Stein,189
Anderson,President,NA,Independent,Mike Smith,174
Anderson,President,NA,Republican,Donald J. Trump,19212
Anderson,President,NA,NA,Write-In - Darrell L. Castle,28
Anderson,President,NA,NA,Write-In - Evan McMullin,115
Bedford,State House,62,Democratic,Sharon Kay Edwards,3501
Bedford,State House,62,Republican,Pat Marsh,10775
Bedford,State Senate,14,Democratic,Gayle Jordan,2995
Bedford,State Senate,14,Republican,Jim Tracy,11577
Bedford,U.S. House,4,Democratic,Steven Reynolds,3923
Bedford,U.S. House,4,Republican,Scott DesJarlais,9778
Bedford,President,NA,Democratic,Hillary Clinton,3395
Bedford,President,NA,Independent,"""Rocky"" Roque De La Fuente",25
Bedford,President,NA,Independent,Alyson Kennedy,8
Bedford,President,NA,Independent,Gary Johnson,306
Bedford,President,NA,Independent,Jill Stein,75
Bedford,President,NA,Independent,Mike Smith,47
Bedford,President,NA,Republican,Donald J. Trump,11486
Bedford,President,NA,NA,Write-In - Darrell L. Castle,5
Bedford,President,NA,NA,Write-In - Evan McMullin,8
Benton,State House,75,Democratic,Daniel Powell,1708
Benton,State House,75,Independent,James Hart,361
Benton,State House,75,Republican,Tim Wirgau,3981
Benton,State Senate,24,Republican,John D. Stevens,4526
Benton,U.S. House,7,Democratic,Tharon Chandler,1474
Benton,U.S. House,7,Independent,Leonard D. Ladner,206
Benton,U.S. House,7,Republican,Marsha Blackburn,4248
Benton,U.S. House,8,Democratic,Rickey Hobson,9
Benton,U.S. House,8,Independent,Adrian M. Montague,0
