county,office,district,party,candidate,votes
Anderson,President,NA,,Write-In - David Cobb,0
Anderson,President,NA,,Write-In - Walt Brown,0
Anderson,President,NA,Democratic,John F. Kerry,12896
Anderson,President,NA,Independent,Michael Anthony Peroutka,53
Anderson,President,NA,Independent,Michael Badnarik,76
Anderson,President,NA,Independent,Ralph Nader,147
Anderson,President,NA,Republican,George W. Bush,18510
Anderson,State House,33,Democratic,Jim Hackworth,19900
Anderson,State House,38,Democratic,Leslie Winningham,3035
Anderson,U.S. House,3,Democratic,John Wolfe,7564
Anderson,U.S. House,3,Independent,Doug Vandagriff,182
Anderson,U.S. House,3,Independent,Jean Howard-Hill,173
Anderson,U.S. House,3,Independent,June Griffin,536
Anderson,U.S. House,3,Republican,Zach Wamp,20981
Bedford,President,NA,,Write-In - David Cobb,0
Bedford,President,NA,,Write-In - Walt Brown,0
Bedford,President,NA,Democratic,John F. Kerry,5268
Bedford,President,NA,Independent,Michael Anthony Peroutka,12
Bedford,President,NA,Independent,Michael Badnarik,21
Bedford,President,NA,Independent,Ralph Nader,54
Bedford,President,NA,Republican,George W. Bush,8351
Bedford,State House,62,Democratic,Curt Cobb,10101
Bedford,State Senate,16,Democratic,Larry Trail,5973
Bedford,State Senate,16,Republican,Jim Tracy,7364
Bedford,U.S. House,6,Democratic,Bart Gordon,7979
Bedford,U.S. House,6,Independent,J. Patrick Lyons,277
Bedford,U.S. House,6,Independent,Norman R. Saliba,105
Bedford,U.S. House,6,Republican,Nick Demas,3997
Benton,President,NA,,Write-In - David Cobb,0
Benton,President,NA,,Write-In - Walt Brown,0
Benton,President,NA,Democratic,John F. Kerry,3869
Benton,President,NA,Independent,Michael Anthony Peroutka,16
Benton,President,NA,Independent,Michael Badnarik,10
Benton,President,NA,Independent,Ralph Nader,34
Benton,President,NA,Republican,George W. Bush,3161
Benton,State House,75,Democratic,"Willie ""Butch"" Borchert",5334
Benton,State House,75,Republican,"Stephen R. Blackwell, Sr.",1564
Benton,State Senate,24,Democratic,Roy Herron,4956
Benton,State Senate,24,Republican,Dennis J. Doster,1667
Benton,U.S. House,8,,Write-In - Dennis Bertrand,0
Benton,U.S. House,8,Democratic,John Tanner,5252
Benton,U.S. House,8,Republican,James L. Hart,1366
Bledsoe,President,NA,,Write-In - David Cobb,9
Bledsoe,President,NA,,Write-In - Walt Brown,0
Bledsoe,President,NA,Democratic,John F. Kerry,1927
Bledsoe,President,NA,Independent,Michael Anthony Peroutka,1
Bledsoe,President,NA,Independent,Michael Badnarik,10
Bledsoe,President,NA,Independent,Ralph Nader,13
Bledsoe,President,NA,Republican,George W. Bush,2849
Bledsoe,State House,25,Democratic,"J. H. Graham, III",1738
Bledsoe,State House,25,Republican,Eric H. Swafford,2970
Bledsoe,State Senate,14,Democratic,Jerry W. Cooper,2653
Bledsoe,U.S. House,4,Democratic,Lincoln Davis,2145
Bledsoe,U.S. House,4,Independent,Ken Martin,70
Bledsoe,U.S. House,4,Republican,Janice Bowling,2487
Blount,President,NA,,Write-In - David Cobb,0
Blount,President,NA,,Write-In - Walt Brown,0
Blount,President,NA,Democratic,John F. Kerry,15047
Blount,President,NA,Independent,Michael Anthony Peroutka,86
Blount,President,NA,Independent,Michael Badnarik,134
Blount,President,NA,Independent,Ralph Nader,204
Blount,President,NA,Republican,George W. Bush,33241
Blount,State House,20,Republican,Doug Overbey,21086
Blount,State House,8,Republican,Joe McCord,16057
Blount,State Senate,8,Democratic,Linda Jo Dees,13172
Blount,State Senate,8,Independent,Jimmy (Jim) Melton,1984
Blount,State Senate,8,Republican,Raymond Finney,30026
Blount,U.S. House,2,Democratic,John Greene,7820
Blount,U.S. House,2,Independent,Charles E. Howard,891
Blount,U.S. House,2,Republican,"John J. Duncan, Jr.",37177
Bradley,President,NA,,Write-In - David Cobb,0
Bradley,President,NA,,Write-In - Walt Brown,0
Bradley,President,NA,Democratic,John F. Kerry,9431
Bradley,President,NA,Independent,Michael Anthony Peroutka,43
Bradley,President,NA,Independent,Michael Badnarik,80
Bradley,President,NA,Independent,Ralph Nader,132
Bradley,President,NA,Republican,George W. Bush,25951
