county,office,district,party,candidate,votes
Anderson,Presidential Preference,NA,Democratic,Al Sharpton,37
Anderson,Presidential Preference,NA,Democratic,Carol Moseley Braun,16
Anderson,Presidential Preference,NA,Democratic,Dennis J. Kucinich,41
Anderson,Presidential Preference,NA,Democratic,Dick Gephardt,14
Anderson,Presidential Preference,NA,Democratic,Howard Dean,277
Anderson,Presidential Preference,NA,Democratic,Joe Lieberman,24
Anderson,Presidential Preference,NA,Democratic,John Edwards,1528
Anderson,Presidential Preference,NA,Democratic,John F. Kerry,2092
Anderson,Presidential Preference,NA,Democratic,"Lyndon H. LaRouche, Jr.",2
Anderson,Presidential Preference,NA,Democratic,Uncommitted,24
Anderson,Presidential Preference,NA,Democratic,Wesley Clark,1375
Anderson,Presidential Preference,NA,Republican,George W. Bush,601
Anderson,Presidential Preference,NA,Republican,Uncommitted,22
Bedford,Presidential Preference,NA,Democratic,Al Sharpton,26
Bedford,Presidential Preference,NA,Democratic,Carol Moseley Braun,7
Bedford,Presidential Preference,NA,Democratic,Dennis J. Kucinich,3
Bedford,Presidential Preference,NA,Democratic,Dick Gephardt,4
Bedford,Presidential Preference,NA,Democratic,Howard Dean,96
Bedford,Presidential Preference,NA,Democratic,Joe Lieberman,20
Bedford,Presidential Preference,NA,Democratic,John Edwards,768
Bedford,Presidential Preference,NA,Democratic,John F. Kerry,845
Bedford,Presidential Preference,NA,Democratic,"Lyndon H. LaRouche, Jr.",3
Bedford,Presidential Preference,NA,Democratic,Uncommitted,12
Bedford,Presidential Preference,NA,Democratic,Wesley Clark,699
Bedford,Presidential Preference,NA,Republican,George W. Bush,189
Bedford,Presidential Preference,NA,Republican,Uncommitted,2
Benton,Presidential Preference,NA,Democratic,Al Sharpton,32
Benton,Presidential Preference,NA,Democratic,Carol Moseley Braun,27
Benton,Presidential Preference,NA,Democratic,Dennis J. Kucinich,12
Benton,Presidential Preference,NA,Democratic,Dick Gephardt,32
Benton,Presidential Preference,NA,Democratic,Howard Dean,139
Benton,Presidential Preference,NA,Democratic,Joe Lieberman,61
Benton,Presidential Preference,NA,Democratic,John Edwards,857
Benton,Presidential Preference,NA,Democratic,John F. Kerry,1112
Benton,Presidential Preference,NA,Democratic,"Lyndon H. LaRouche, Jr.",4
Benton,Presidential Preference,NA,Democratic,Uncommitted,122
Benton,Presidential Preference,NA,Democratic,Wesley Clark,851
Benton,Presidential Preference,NA,Republican,George W. Bush,205
Benton,Presidential Preference,NA,Republican,Uncommitted,16
Bledsoe,Presidential Preference,NA,Democratic,Al Sharpton,2
Bledsoe,Presidential Preference,NA,Democratic,Carol Moseley Braun,2
Bledsoe,Presidential Preference,NA,Democratic,Dennis J. Kucinich,1
Bledsoe,Presidential Preference,NA,Democratic,Dick Gephardt,3
Bledsoe,Presidential Preference,NA,Democratic,Howard Dean,26
Bledsoe,Presidential Preference,NA,Democratic,Joe Lieberman,1
Bledsoe,Presidential Preference,NA,Democratic,John Edwards,165
Bledsoe,Presidential Preference,NA,Democratic,John F. Kerry,414
Bledsoe,Presidential Preference,NA,Democratic,"Lyndon H. LaRouche, Jr.",0
Bledsoe,Presidential Preference,NA,Democratic,Uncommitted,5
Bledsoe,Presidential Preference,NA,Democratic,Wesley Clark,162
Bledsoe,Presidential Preference,NA,Republican,George W. Bush,179
Bledsoe,Presidential Preference,NA,Republican,Uncommitted,10
Blount,Presidential Preference,NA,Democratic,Al Sharpton,17
Blount,Presidential Preference,NA,Democratic,Carol Moseley Braun,18
Blount,Presidential Preference,NA,Democratic,Dennis J. Kucinich,43
Blount,Presidential Preference,NA,Democratic,Dick Gephardt,13
Blount,Presidential Preference,NA,Democratic,Howard Dean,192
Blount,Presidential Preference,NA,Democratic,Joe Lieberman,16
Blount,Presidential Preference,NA,Democratic,John Edwards,1304
Blount,Presidential Preference,NA,Democratic,John F. Kerry,2163
Blount,Presidential Preference,NA,Democratic,"Lyndon H. LaRouche, Jr.",4
Blount,Presidential Preference,NA,Democratic,Uncommitted,12
Blount,Presidential Preference,NA,Democratic,Wesley Clark,1239
Blount,Presidential Preference,NA,Republican,George W. Bush,1950
Blount,Presidential Preference,NA,Republican,Uncommitted,81
Bradley,Presidential Preference,NA,Democratic,Al Sharpton,16
Bradley,Presidential Preference,NA,Democratic,Carol Moseley Braun,3
Bradley,Presidential Preference,NA,Democratic,Dennis J. Kucinich,13
Bradley,Presidential Preference,NA,Democratic,Dick Gephardt,9
Bradley,Presidential Preference,NA,Democratic,Howard Dean,129
Bradley,Presidential Preference,NA,Democratic,Joe Lieberman,26
Bradley,Presidential Preference,NA,Democratic,John Edwards,736
Bradley,Presidential Preference,NA,Democratic,John F. Kerry,1189
Bradley,Presidential Preference,NA,Democratic,"Lyndon H. LaRouche, Jr.",1
Bradley,Presidential Preference,NA,Democratic,Uncommitted,10
Bradley,Presidential Preference,NA,Democratic,Wesley Clark,684
Bradley,Presidential Preference,NA,Republican,George W. Bush,1188
Bradley,Presidential Preference,NA,Republican,Uncommitted,29
Campbell,Presidential Preference,NA,Democratic,Al Sharpton,3
Campbell,Presidential Preference,NA,Democratic,Carol Moseley Braun,7
Campbell,Presidential Preference,NA,Democratic,Dennis J. Kucinich,4
Campbell,Presidential Preference,NA,Democratic,Dick Gephardt,5
Campbell,Presidential Preference,NA,Democratic,Howard Dean,56
Campbell,Presidential Preference,NA,Democratic,Joe Lieberman,8
Campbell,Presidential Preference,NA,Democratic,John Edwards,530
Campbell,Presidential Preference,NA,Democratic,John F. Kerry,813
Campbell,Presidential Preference,NA,Democratic,"Lyndon H. LaRouche, Jr.",1
Campbell,Presidential Preference,NA,Democratic,Uncommitted,4
Campbell,Presidential Preference,NA,Democratic,Wesley Clark,390
Campbell,Presidential Preference,NA,Republican,George W. Bush,337
Campbell,Presidential Preference,NA,Republican,Uncommitted,11
Cannon,Presidential Preference,NA,Democratic,Al Sharpton,6
Cannon,Presidential Preference,NA,Democratic,Carol Moseley Braun,1
Cannon,Presidential Preference,NA,Democratic,Dennis J. Kucinich,7
Cannon,Presidential Preference,NA,Democratic,Dick Gephardt,4
