county,office,district,party,candidate,votes
Bradley,State House,22,DEM,Sally Love,876
Bradley,State House,22,REP,Eric Watson,1937
Meigs,State House,22,DEM,Sally Love,648
Meigs,State House,22,REP,Eric Watson,745
Polk,State House,22,DEM,Sally Love,1486
Polk,State House,22,REP,Eric Watson,982
